"","1028","1101","1102","1103","1104","1106","1107","1108","1109","1110","1111","1112","1113","1114","1115","1116","1119","1120","1121","1122","1123","1124","1127","2000","2001","2002","2003","2005","2006","2008","2009","2010","2012","2013","2014","2015","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2033","2035","2038","2039","2041","2044","2046","2047","2052","2053","2055","2521","2568","2587","2612","2617","2655","3001","3002","3003","3004","3005","3006","3007","3009","3010","3011","3013","3014","3020","3023","3027","3030","3031","3032","3033","3040","3042","3044","3046","3047","3049","3050","3059","3063","3065","3068","3070","3075","3076","3078","3082","3083","3084","3085","3089","3090","3092","3109","3116","3122","3123","3133","3134","3135","3147"
"1110",0,0,0,0.012,0.019,0.009,0.03,0.013,0.011,0,0.01,0.008,0.013,0.009,0.002,0.007,0.002,0.003,0.002,0.003,0,0.005,0.006,0.002,0.983,0.014,0.009,0.003,0,0.006,0.009,0,0.001,0.001,0.004,0.002,0.002,0.001,0.001,0.002,0,0,0,0,0,0,0.004,0,0.002,0.027,0,0,0.003,0,0,0,0.002,0.002,0.002,0,0.021,0.002,0,0,0,0.065,0.004,0.001,0.001,0,0.002,0,0,0.987,1,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.999,0.005,0.009,0,0,0.003,0.007,0.003,0.009,0,0,0.001,0.002,0.006,0.004,0.002,0.002,0.002,0.009,0.014,0.005,0.008,0.009
"1111",0.017,0,0.007,1,0.035,0.761,0.227,0.004,0.911,0.005,0,1,0.998,0.021,0.006,0.042,0.001,0.012,0.244,0.002,0.001,0.005,1,0.001,0.052,0.025,0.015,0.028,0.001,0.008,0.008,0.001,0,0.002,0.001,0.003,0.005,0.015,0.001,0.002,0.002,0,0,0,0,0,0.015,0.007,0.006,0.003,0.001,0.001,0.011,0.005,0,0,0.001,0.006,0.001,0,0.002,0.005,0.001,0,0.001,0.001,0.001,0.002,0,0.001,0.003,0,0,0.023,0.002,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0.001,0.003,0.015,1,0,0.001,0.002,0.018,0.01,0.007,0.001,0,0.002,0.001,0.11,0.001,0.002,0.001,0.005,0.012,0.004,0.003,0.006,0.004
"1112",0.009,0,0.002,0.094,0.113,0.999,0.063,0.006,1,0.005,1,0,1,0.986,0.049,0.041,0.001,0.014,0.033,0.001,0,0.001,1,0.001,0.004,0.018,0.016,0.008,0,0.008,0.008,0,0,0.001,0.001,0.003,0.003,0.002,0,0.001,0.002,0,0,0,0,0,0.01,0.005,0.001,0.003,0,0,0.008,0.002,0,0,0,0.001,0.001,0,0.001,0.005,0,0,0,0,0.001,0.001,0,0.001,0.003,0,0,0.087,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.031,0.067,0,0,0.001,0.018,0.009,0.922,0,0,0.002,0.001,0.03,0.001,0.002,0.001,0.003,0.017,0.009,0.001,0.012,0.002
"1113",0.014,0,0.003,0.124,0.041,0.163,0.044,0.013,0.846,0.014,0.857,0.877,0,0.013,0.054,0.022,0.004,0.02,0.032,0.008,0,0.003,0.781,0.002,0.004,0.035,0.008,0.005,0,0.005,0.002,0,0.001,0.001,0.003,0.002,0.006,0.002,0.001,0.001,0.224,0,0,0,0,0,0.008,0.002,0.004,0.001,0,0,0.01,0.001,0,0,0.001,0.001,0.002,0,0.003,0.002,0,0,0,0.001,0.003,0.001,0.001,0,0.002,0,0,0.004,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.024,0.091,0,0,0.004,0.006,0.007,0.012,0,0,0.001,0.002,0.022,0.001,0.001,0.002,0.002,0.007,0.019,0.005,0.006,0.008
"1114",0.005,0,0.001,0.022,0.049,0.993,0.99,0.072,0.992,0.019,1,0.997,0.825,0,0.015,0.017,0.004,0.016,0.018,0.013,0,0.003,0.992,0.003,0.005,0.016,0.043,0.013,0.001,0.028,0.013,0.002,0.001,0.022,0.004,0.01,0.003,0.006,0.027,0.002,0,0.001,0,0.003,0.001,0,0.021,0.003,0.003,0.008,0.022,0.003,0.016,0.002,0,0,0.001,0.023,0.002,0.004,0.004,0.01,0.005,0.004,0.001,0.002,0.004,0.006,0.002,0.002,0.01,0.006,0.001,0.005,0.006,0.001,0.001,0,0.001,0.023,0.001,0.011,0.001,0.001,0,0,0.001,0.033,0.028,0.006,0.019,0.013,0.001,0.001,0.004,0.015,0.038,0.028,0.001,0.001,0.005,0.002,0.027,0.004,0.007,0.003,0.013,0.04,0.015,0.007,0.015,0.046
"1115",0.038,0.001,0.027,0.967,1,0.012,0.016,0.003,0.993,0.003,0.812,0.118,0.074,0.011,0,1,0.982,1,0.227,0.006,0.001,0.967,0.162,0.015,0.027,0.023,0.014,0.003,0.004,0.006,0.043,0.002,0.001,0.007,0.001,0.002,0.03,0.014,0.009,0.015,0.001,0.002,0.001,0.003,0,0.002,0.013,0.013,0.012,0.029,0.008,0.004,0.01,0.01,0.001,0.002,0.004,0.009,0.001,0.006,0.013,0.002,0.008,0.006,0.002,0.009,0.001,0.006,0.001,0.002,0.002,0.002,0.003,0.003,0.03,0.001,0.001,0.001,0.001,0.008,0.003,0.003,0,0.002,0.002,0.001,0.003,0.011,0.01,0.037,0.913,0.018,0.001,0.009,0.05,0.092,0.056,0.004,0.005,0.001,0.001,0,0.006,0.001,0.002,0.008,0.017,0.009,0.015,0.011,0.185,0.003
"1116",0.011,0,0.016,0.015,1,0.006,0.004,0.002,0.901,0.002,0.015,0.024,0.013,0.008,1,0,0.023,1,0.179,0.004,0,0.014,0.991,0.008,0.015,0.015,0.01,0.006,0.002,0.013,0.027,0.002,0.001,0.004,0.001,0.002,0.009,0.008,0.005,0.008,0.001,0.001,0.001,0.002,0,0.001,0.007,0.006,0.007,0.017,0.004,0.002,0.005,0.004,0,0.001,0.031,0.014,0,0.003,0.008,0.001,0.004,0.003,0.001,0.005,0.001,0.004,0.001,0.001,0.002,0.001,0.002,0.001,0.017,0.001,0.001,0,0.001,0.004,0.001,0.001,0,0.001,0.001,0.001,0.002,0.006,0.005,0.021,0.999,0.012,0.001,0.005,0.022,0.998,0.04,0.003,0.002,0,0.001,0,0.004,0.001,0.002,0.006,0.012,0.018,0.005,0.007,0.999,0.002
"1119",0.004,0.001,0.001,0.992,0.985,0.003,0.002,0.004,0.003,0.005,0.008,0.003,0.96,0.004,0.995,0.994,0,0.057,0.007,0.009,0.001,0.03,0.004,0.023,0.01,0.008,0.005,0.001,0.001,0.002,0.017,0.001,0.002,0.003,0.001,0.001,0.011,0.005,0.014,0.006,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.02,0.011,0.003,0.001,0.002,0.002,0.001,0.001,0.007,0.004,0.001,0.002,0.021,0.001,0.003,0.002,0.001,0.014,0.001,0.002,0.002,0.001,0.001,0.003,0.001,0.001,0.011,0.001,0.001,0.001,0,0.003,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.004,0.004,0.014,0.996,0.028,0.001,0.003,0.009,0.009,0.022,0.007,0.001,0.001,0,0.001,0.002,0,0.001,0.013,0.006,0.003,0.005,0.017,0.009,0.005
"1120",0.049,0.001,0.068,0.049,1,0.021,0.015,0.007,0.97,0.008,0.05,0.081,0.044,0.029,0.996,1,0.995,0,0.437,0.015,0.001,0.048,0.113,0.037,0.068,0.029,0.99,0.007,0.01,0.979,0.997,0.007,0.005,0.018,0.002,0.005,0.037,0.99,0.023,0.038,0.002,0.006,0.003,0.009,0.001,0.004,0.025,0.985,0.033,0.074,0.02,0.027,0.019,0.019,0.003,0.004,0.012,0.024,0.002,0.016,0.034,0.933,0.02,0.024,0.006,0.024,0.002,0.031,0.006,0.005,0.006,0.005,0.007,0.004,0.075,0.004,0.004,0.001,0.003,0.021,0.007,0.007,0.001,0.007,0.006,0.003,0.009,0.03,0.025,0.996,1,0.045,0.004,0.022,0.088,0.998,0.998,0.011,0.964,0.002,0.003,0.001,0.015,0.002,0.006,0.022,0.044,0.023,0.982,0.028,0.997,0.009
"1121",0.009,0,0.162,1,1,0.999,0.997,0.005,1,0.006,1,0.999,0.065,0.021,1,1,0.007,1,0,0.012,0.001,0.008,0.999,0.004,0.029,0.031,0.027,0.008,0.002,0.009,0.016,0.001,0.001,0.004,0.001,0.003,0.008,0.011,0.002,0.005,0.001,0.001,0,0.001,0,0,0.014,0.006,0.008,0.009,0.002,0.001,0.011,0.005,0,0,0.002,0.006,0.001,0.001,0.005,0.003,0.002,0.001,0.001,0.002,0.001,0.004,0.001,0.002,0.003,0,0.001,0.113,0.008,0.001,0.001,0,0,0.002,0.001,0.001,0,0.001,0.001,0,0.001,0.003,0.002,0.009,0.998,0.999,0.001,0.002,0.962,0.992,0.997,0.007,0.002,0,0.002,0.001,0.033,0.001,0.003,0.006,0.012,0.02,0.007,0.006,0.992,0.004
